"Date_Added","Type","PB_Number","Bag_Number","Unique_Bag_ID","Weight","Material_Type","Strain","Operator","Operator_Group","Freezer_ID","Shelf_Number","Purpose"
"01/01/21","Entry","PB210101_SU123",1,"PB210101_SU123_1",1550,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/01/21","Entry","PB210101_SU123",2,"PB210101_SU123_2",1490,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/01/21","Entry","PB210101_SU4",1,"PB210101_SU4_1",700,"Solid","PP280","Destiny","Harvest","Freezer_A",2,"Batch Harvest"
"01/01/21","Entry","PB210101_SU5",1,"PB210101_SU5_1",800,"Solid","PP250","Destiny","Harvest","Freezer_B",2,"Batch Harvest"
"01/01/21","Entry","PB210101_SU6",1,"PB210101_SU6_1",700,"Liquid","PP300","Destiny","Harvest","Freezer_B",1,"Batch Harvest"
"01/04/21","Removal","PB210101_SU4",1,"PB210101_SU4_1",400,"Solid","PP280","Kimberly","Experimental_1","Freezer_A",2,"Experiment 1 for Aim 1"
"01/05/21","Removal","PB210101_SU6",1,"PB210101_SU6_1",200,"Liquid","PP250","Kimberly","Experimental_1","Freezer_B",1,"Experiment 1 for Aim 1"
"01/06/21","Removal","PB210101_SU4",1,"PB210101_SU4_1",300,"Solid","PP280","Jing","Experimental_2","Freezer_A",2,"Experiment 1 for Aim 2"
"01/08/21","Entry","PB210108_SU1234",1,"PB210108_SU1234_1",1580,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/08/21","Entry","PB210108_SU1234",2,"PB210108_SU1234_2",1490,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/08/21","Entry","PB210108_SU1234",3,"PB210108_SU1234_3",1440,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/08/21","Entry","PB210108_SU56",1,"PB210108_SU56_1",550,"Liquid","PP300","Bob","Harvest","Freezer_B",1,"Batch Harvest"
"01/08/21","Entry","PB210108_SU56",2,"PB210108_SU56_2",600,"Liquid","PP300","Bob","Harvest","Freezer_B",1,"Batch Harvest"
"01/12/21","Removal","PB210101_SU123",1,"PB210101_SU123_1",1550,"Solid","PP100","Diego","Processing","Freezer_A",1,"Production Run 1"
"01/12/21","Removal","PB210101_SU123",2,"PB210101_SU123_2",1490,"Solid","PP100","Diego","Processing","Freezer_A",1,"Production Run 1"
"01/12/21","Removal","PB210108_SU1234",1,"PB210108_SU1234_1",1580,"Solid","PP100","Diego","Processing","Freezer_A",1,"Production Run 1"
"01/12/21","Removal","PB210108_SU1234",2,"PB210108_SU1234_2",1490,"Solid","PP100","Diego","Processing","Freezer_A",1,"Production Run 1"
"01/12/21","Removal","PB210108_SU1234",3,"PB210108_SU1234_3",1440,"Solid","PP100","Diego","Processing","Freezer_A",1,"Production Run 1"
"01/14/21","Removal","PB210101_SU6",1,"PB210101_SU6_1",250,"Liquid","PP300","Jing","Experimental_2","Freezer_B",1,"Production Run 1"
"01/15/21","Entry","PB210115_SU12",1,"PB210115_SU12_1",1600,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/15/21","Entry","PB210115_SU12",2,"PB210115_SU12_2",1490,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/15/21","Entry","PB210115_SU3",1,"PB210115_SU3_1",350,"Solid","PP222","Destiny","Harvest","Freezer_B",2,"Batch Harvest"
